year,municode,inc_m,ind_lang,educ_years,sales_hotel,logtemp,logprecip,dist_us_km
2000,7048,1653.173,.0094609,5.096197,234,5.566026,5.512925,995.2915
2000,7049,1068.349,.9471858,4.94977,11,5.112317,4.912735,1091.772
2000,7051,1899.469,.0052083,5.078939,913,5.514743,5.340698,1236.468
2000,7052,1476.66,.4590685,5.653946,87,5.308715,5.182492,1194.346
2000,7057,4832.991,.0173526,7.69134,1058,5.257152,5.129791,1274.463
2000,7059,1198.371,.7543653,5.080273,2866,5.467527,5.341056,1183.003
2000,7060,910.0131,.9673333,2.962079,52,5.268717,5.198957,1044.459
2000,7061,1235.819,.0388746,5.365062,245,5.449422,4.597196,1071.806
2000,7062,1537.686,.062229,5.231123,114,5.514717,5.665367,1013.444
2000,7064,5204.439,.9562796,5.922356,5,5.138513,4.961179,1129.394
2000,7065,2012.595,.2371045,7.260454,39729,5.567542,5.302947,1087.247
2000,7066,866.0129,.912285,3.730747,155,5.409807,5.061344,1092.698
2000,7068,2606.696,.0220906,6.245768,1792,5.533937,5.723998,1012.035
2000,7069,1491.486,.0421351,5.248999,1103,5.54608,5.261295,1203.332
2000,7070,1818.816,.0518672,7.727468,4,4.971188,4.697145,1265.263
2000,7071,1636.486,.0117181,6.245739,365,5.605257,5.530159,1277.796
2000,7072,1285.666,.3425325,4.556368,70,5.244962,5.234252,1057.607
2000,7073,1446.059,.5072992,5.913361,26,5.236774,5.208666,1055.039
2000,7074,2754.855,.0221923,7.359698,590,5.571968,5.296257,977.1496
2000,7075,1238.987,.1445604,3.916758,335,5.245125,4.591078,1166.568
2000,7076,1128.24,.8279392,5.025901,202,5.452236,5.342303,1059.993
2000,7077,1027.85,.837386,5.34469,196,5.559888,5.47076,1068.898
2000,7078,2205.948,.3819683,7.848188,48928,4.99971,4.617341,1124.908
2000,7079,4368.228,.0286513,5.278067,2,5.413911,4.552181,1074.282
2000,7080,1556.186,.0087549,5,39,5.220967,4.864647,1245.309
2000,7081,1765.347,.5821786,5.183959,347,5.396916,5.064467,1077.261
2000,7087,1850.959,.0107298,6.165436,2152,5.634663,4.72437,1348.003
2000,7089,2430.971,.0105365,8.313057,86689,5.548638,5.403846,1314.515
2000,7091,1669.25,.2793752,5.846571,427,5.343552,5.363509,1049.089
2000,7092,1850.354,.2625349,5.39313,620,5.503886,5.288597,1031.988
2000,7094,1454.156,.4509988,4.88617,195,5.129279,4.66028,1140.351
2000,7096,1239.734,.9308533,4.723771,211,5.445878,5.468332,1060.174
2000,7097,1741.616,.0105789,6.5848,3071,5.561331,4.951572,1151.218
2000,7100,2243.802,.9594298,6.318912,9,5.455234,5.416906,1078.35
2000,7101,3217.85,.0413279,9.179221,89171,5.455824,4.396354,1095.017
2000,7102,1571.595,.0049081,6.200315,26,5.580252,5.592822,1322.911
2000,7105,1173.733,.0179801,5.535012,282,5.344879,5.746328,1310.198
2000,7106,1617.751,.1886603,4.92929,233,5.451738,4.684605,1160.49
2000,7107,1583.371,.0150342,5.440003,127,5.42472,4.793193,1157.157
2000,7108,1728.558,.0124444,6.591382,1489,5.437383,4.491026,1126.107
2000,7109,2041.65,.5953968,5.985126,1347,5.326867,5.343909,1087.035
2000,8001,2792.998,.003252,6.30542,2585,5.112978,3.067538,98.75993
2000,8002,3922.281,.0114831,7.287011,1074,5.199478,3.21781,121.4973
2000,8003,2911.391,.018227,7.081807,101,5.184678,3.549949,275.6094
2000,8005,3496.034,.0139453,7.839955,4394,5.1271,2.972168,50.32592
2000,8007,2754.573,.3857774,5.675491,288,4.972729,4.018581,373.8554
2000,8008,3354.834,.4722428,5.464767,1909,5.240874,4.249318,430.7786
2000,8009,2319.801,.1281035,6.462831,6856,4.753578,4.128685,361.2919
2000,8010,3535.444,.0053271,7.217865,374,5.08805,3.23188,176.0915
2000,8011,2857.192,.0036301,7.957139,6461,5.191072,3.313725,144.5254
2000,8012,2216.56,.2325368,5.403458,18,4.880012,3.838349,320.6446
2000,8015,3269.864,.0410156,5.518293,16,5.169328,3.160091,54.13015
2000,8017,3689.753,.024333,8.12342,15945,4.907276,3.611742,256.6332
2000,8019,5255.018,.0121917,9.79506,243036,5.072446,3.516192,180.4188
2000,8020,2586.194,.0937881,6.942159,30,5.289425,4.215778,429.8185
2000,8021,3441.68,.0075515,9.119127,20268,5.251461,3.219214,190.9964
2000,8025,2511.102,.0056566,7.203912,448,4.772225,3.791441,226.3392
2000,8027,2630.492,.5598919,5.231236,2497,4.942266,4.101244,383.6799
2000,8029,2515.343,.3094017,5.599616,293,5.072119,4.409345,454.4386
2000,8030,2679.14,.2666667,5.662162,189,5.193827,4.321172,437.0033
2000,8031,2633.026,.0924405,6.504959,915,4.847581,3.932587,326.5421
2000,8032,3267.446,.0175743,8.819448,17799,5.156042,3.687799,291.7552
2000,8034,3522.722,.0180033,7.166115,99,4.86058,3.595893,184.9861
2000,8035,3149.951,.0043934,6.675217,95,5.049725,3.404111,53.86575
2000,8036,2405.908,.0149373,7.72876,4409,5.20105,3.354208,235.8464
2000,8037,4670.608,.0111581,8.619112,272900,5.141583,2.900858,29.83639
2000,8040,2665.601,.029174,6.245722,3152,4.891408,4.02951,222.8222
2000,8042,2689.328,.0041152,6.440529,57,5.230715,3.233074,29.79134
2000,8043,4449.19,.0157005,6.980843,55,4.871799,3.760267,282.4521
2000,8045,2751.494,.0063322,6.865763,533,5.267958,3.252723,171.0442
2000,8046,4921.367,.2170022,5.342299,12,5.245628,4.409306,462.8443
2000,8047,2855.844,.042394,6.292746,150,5.212184,4.261801,352.6697
2000,8048,3653.71,.0079225,6.788074,704,4.89368,3.619892,240.995
2000,8049,3411.341,.0980392,5.468809,25,5.050584,3.743946,323.8865
2000,8050,3507.758,.0075362,7.716559,11163,5.076644,3.215709,100.1846
2000,8051,2298.619,.0375335,5.169725,5,4.946267,4.304515,352.6751
2000,8052,3311.055,.009925,7.809382,4048,5.241765,3.214197,24.07573
2000,8057,2632.049,.0273723,6.710728,126,5.025503,3.706103,290.3017
2000,8060,2780.021,.0093716,7.994054,156,5.086941,3.746324,326.62
2000,8062,3256.277,.0101444,7.073682,17,5.213838,3.30577,192.2582
